Time,Boss,Event,Reporter
2019-12-02 02:30 PM,KAZZAK,CHECKED,Op
2019-12-02 03:01 PM,AZUREGOS,CHECKED,Simi
2019-12-02 03:04 PM,KAZZAK,CHECKED,Kainslayer
2019-12-02 03:31 PM,KAZZAK,CHECKED,Kainslayer
2019-12-02 04:19 PM,AZUREGOS,CHECKED,Maneuvers
2019-12-02 04:35 PM,KAZZAK,CHECKED,Banx
2019-12-02 04:52 PM,AZUREGOS,CHECKED,Maneuvers
2019-12-02 04:57 PM,KAZZAK,CHECKED,Butterboy
2019-12-02 04:57 PM,KAZZAK,CHECKED,Eldrimoth
2019-12-02 06:07 PM,AZUREGOS,CHECKED,loganiscool
2019-12-02 06:08 PM,KAZZAK,CHECKED,Butterboy
2019-12-02 06:25 PM,KAZZAK,CHECKED,Ogopogo
2019-12-02 06:43 PM,AZUREGOS,CHECKED,Zodiackiller
2019-12-02 07:11 PM,AZUREGOS,CHECKED,Zodiackiller
2019-12-02 07:19 PM,AZUREGOS,CHECKED,Papiloco
2019-12-02 07:27 PM,AZUREGOS,CHECKED,loganiscool
